类别,图像名,Mean Square Error (MSE),Path Point Numbers,Time Consumption (seconds)
emoji,emoji_4_c470dc7a,0.006,104.0,10.3131
emoji,emoji_2_16331759,0.0059,195.0,19.1564
emoji,emoji_3_7774a5ed,0.0017,169.0,10.845
emoji,emoji_5_f5bd1777,0.0087,390.0,18.5797
emoji,emoji_1_1c361fd4,0.0089,91.0,13.9122
emoji,平均值,0.00624,189.8,14.56128
logo,logo_1_15e5ff5b,0.0014,104.0,19.1385
logo,logo_4_3d1322f6,0.0257,234.0,47.1985
logo,logo_3_f8aac948,0.0122,78.0,36.6503
logo,logo_5_d884b2d2,0.0313,260.0,16.6305
logo,logo_2_e81a3bff,0.0043,117.0,47.3466
logo,平均值,0.014979999999999999,158.6,33.392880000000005
simple,simple_10_4a438e1d,0.0052,650.0,25.7366
simple,simple_2_99d8ca7b,0.0104,104.0,5.2998
simple,simple_6_2055f984,0.0069,715.0,32.9507
simple,simple_8_27ecbd46,0.0042,442.0,12.7606
simple,simple_7_3083a7c3,0.0062,364.0,23.0609
simple,simple_4_5906005b,0.0023,273.0,10.4574
simple,simple_5_e7ac17d9,0.0068,156.0,13.5451
simple,simple_1_7b4375ba,0.0022,91.0,32.3902
simple,simple_3_cc10ff13,0.0055,286.0,19.8144
simple,simple_9_8c0e7944,0.0022,559.0,19.5353
simple,平均值,0.00519,364.0,19.555100000000003
complex,complex_14_acabb41a,0.0054,1521.0,51.1673
complex,complex_13_909f1a20,0.0079,1092.0,47.1162
complex,complex_19_db35b36b,0.0046,1729.0,32.1953
complex,complex_20_61d6f212,0.0116,2522.0,64.763
complex,complex_4_723847f0,0.005,702.0,13.1751
complex,complex_18_f4a03f28,0.0036,676.0,41.012
complex,complex_16_051e5825,0.0051,1326.0,34.6216
complex,complex_5_ee937410,0.0044,871.0,20.3156
complex,complex_25_db80ad77,0.0019,650.0,16.9595
complex,complex_2_4bf46dde,0.0095,364.0,49.6599
complex,complex_15_47873462,0.004,780.0,21.2579
complex,complex_1_f6c2a550,0.0121,468.0,25.6158
complex,complex_17_85292bdc,0.0035,2080.0,36.8109
complex,complex_3_d3f2a8d4,0.0167,754.0,26.8135
complex,complex_6_0decbdf8,0.0258,1339.0,22.5441
complex,complex_10_adfc1a10,0.0057,1495.0,37.578
complex,complex_9_ce3851bf,0.0025,689.0,15.1699
complex,complex_7_da2c3b01,0.0032,663.0,17.2376
complex,complex_24_6d637a86,0.0082,2236.0,80.8908
complex,complex_11_f232946a,0.0032,3367.0,37.8082
complex,complex_22_ec9aa699,0.0075,3536.0,62.4812
complex,complex_21_d7e9cf2a,0.0071,2054.0,62.4768
complex,complex_23_e5ed4c9a,0.0079,3770.0,62.631
complex,complex_12_f62a67e8,0.0062,5889.0,47.9833
complex,complex_8_badc970c,0.0124,5395.0,99.956
complex,平均值,0.0074,1838.72,41.129619999999996
truth,truth_4_3e829c14,0.0058,676.0,25.3537
truth,truth_2_7eae5881,0.005,1703.0,43.4519
truth,truth_3_98b93f0a,0.0069,520.0,12.8522
truth,truth_5_25b1578d,0.0088,2587.0,33.1309
truth,truth_1_70ced418,0.0065,3172.0,60.3325
truth,平均值,0.0066,1731.6,35.02424
