类别,图像名,Mean Square Error (MSE),Path Point Numbers,Time Consumption (seconds)
emoji,emoji_2_ce70269d,0.0008,180.0,125.1151
emoji,emoji_1_db9e7596,0.0015,84.0,102.8253
emoji,emoji_3_88524a65,0.0002,156.0,121.7944
emoji,emoji_4_c50c5155,0.0025,96.0,111.1943
emoji,emoji_5_23db0127,0.0072,360.0,125.7155
emoji,平均值,0.00244,175.2,117.32892
logo,logo_3_e0fb00e5,0.0459,72.0,85.2427
logo,logo_1_2b205633,0.0004,96.0,114.98
logo,logo_5_5e466808,0.0025,240.0,160.2518
logo,logo_4_c949e504,0.0065,216.0,158.732
logo,logo_2_ea8e1801,0.0331,108.0,132.5788
logo,平均值,0.01768,146.4,130.35706
simple,simple_8_b5db2b6d,0.0015,408.0,168.8307
simple,simple_3_6b027a06,0.001,264.0,164.1871
simple,simple_2_a6cf0398,0.0017,96.0,108.269
simple,simple_7_cd6140f5,0.0017,336.0,141.5011
simple,simple_6_dccbb41c,0.0019,660.0,220.5095
simple,simple_10_aa5e6a4f,0.0024,600.0,153.5763
simple,simple_9_0a8a221d,0.0011,516.0,156.3046
simple,simple_1_12a32f17,0.0065,84.0,144.3504
simple,simple_4_bb775e1e,0.0025,252.0,105.3332
simple,simple_5_efab36f7,0.0044,144.0,135.2407
simple,平均值,0.00247,336.0,149.81026000000003
complex,complex_9_3d166cff,0.0011,636.0,274.1517
complex,complex_24_78195297,0.0098,2064.0,339.6992
complex,complex_23_34180bc1,0.0079,3480.0,514.4667
complex,complex_18_760bcbc7,0.0073,624.0,196.069
complex,complex_14_7acfa430,0.006,1404.0,290.5826
complex,complex_11_3fca187b,0.0025,3108.0,400.9715
complex,complex_21_b3a67198,0.0087,1896.0,442.5462
complex,complex_16_fd4bd06a,0.0019,1224.0,315.3014
complex,complex_22_f98674a4,0.01,3264.0,458.3341
complex,complex_15_35b6c8ea,0.0024,720.0,148.4026
complex,complex_20_f92cbe88,0.0058,2328.0,493.188
complex,complex_6_b879c067,0.0196,1236.0,271.7812
complex,complex_8_fc05b9d7,0.011,4980.0,596.2208
complex,complex_4_282f8acb,0.0044,648.0,153.5355
complex,complex_12_9833f537,0.0067,5436.0,531.2679
complex,complex_3_8f7498f6,0.0068,696.0,241.6475
complex,complex_7_57ce14ef,0.0005,612.0,159.0848
complex,complex_1_62226eff,0.0076,432.0,176.8529
complex,complex_25_fdaccf3b,0.0014,600.0,164.3511
complex,complex_19_c7a2e169,0.0131,1596.0,405.5705
complex,complex_10_63e28a54,0.002,1380.0,260.1313
complex,complex_13_be205500,0.0116,1008.0,186.2432
complex,complex_17_53fb7758,0.0028,1920.0,274.9933
complex,complex_5_6b50c35c,0.0027,804.0,219.1561
complex,complex_2_f700700a,0.0058,336.0,154.8076
complex,平均值,0.006376000000000001,1697.28,306.774268
truth,truth_1_3d71bfae,0.0103,2928.0,331.0707
truth,truth_4_76617e55,0.0066,624.0,221.9334
truth,truth_3_a2929a2d,0.0061,480.0,157.0109
truth,truth_2_e549fd53,0.007,1572.0,310.3905
truth,truth_5_989e4c1f,0.0084,2388.0,258.1869
truth,平均值,0.007679999999999999,1598.4,255.71848
