类别,图像名,Mean Square Error (MSE),Path Point Numbers,Time Consumption (seconds)
emoji,emoji_4_b2aee646,0.0003,91.0,10.228
emoji,emoji_2_a458358c,0.0005,144.0,10.3971
emoji,emoji_3_0e432024,0.0003,104.0,9.8685
emoji,emoji_5_16a9af2c,0.0012,302.0,8.7957
emoji,emoji_1_647d0072,0.0004,118.0,12.7407
emoji,平均值,0.00054,151.8,10.406
logo,logo_3_8d48aa49,0.0014,92.0,11.3579
logo,logo_5_0d972507,0.0013,194.0,13.4128
logo,logo_2_a3974eb0,0.0027,98.0,14.9796
logo,logo_4_f093c883,0.0007,230.0,11.0721
logo,logo_1_8844bff6,0.0013,100.0,13.1476
logo,平均值,0.00148,142.8,12.794
simple,simple_10_d8650b1a,0.0019,569.0,16.1435
simple,simple_5_06161eba,0.0013,181.0,15.466
simple,simple_7_daacf241,0.0024,450.0,20.2532
simple,simple_1_d7dbfa60,0.0007,78.0,12.0987
simple,simple_2_ff88beb3,0.0037,129.0,11.2871
simple,simple_4_774fae6f,0.0009,150.0,13.771
simple,simple_3_68f06963,0.0005,145.0,13.0734
simple,simple_6_a9aac126,0.0013,683.0,47.7849
simple,simple_9_1d3eeca5,0.0076,463.0,17.1075
simple,simple_8_3b9106bc,0.001,436.0,12.7955
simple,平均值,0.00213,328.4,17.97808
complex,complex_25_cafed912,0.0008,554.0,16.1886
complex,complex_23_bc014c9d,0.0072,2154.0,92.021
complex,complex_18_352ec86b,0.0009,619.0,40.1548
complex,complex_10_f7b9fa35,0.0014,1258.0,41.4327
complex,complex_7_c25f242e,0.001,341.0,21.3042
complex,complex_24_e9543439,0.0071,1649.0,71.3467
complex,complex_21_560d98cc,0.0064,1317.0,71.4038
complex,complex_14_9bfcc8ce,0.0034,1038.0,36.3246
complex,complex_4_81a39854,0.0047,848.0,20.2291
complex,complex_6_201f9d4b,0.0275,1039.0,54.7238
complex,complex_12_06f6df4e,0.0069,3427.0,69.3413
complex,complex_19_e781aae5,0.005,1093.0,85.5695
complex,complex_1_2aa3b028,0.0021,632.0,32.8621
complex,complex_2_8df365e5,0.0051,457.0,18.7966
complex,complex_3_bf827ef7,0.0068,741.0,19.8813
complex,complex_5_df63af88,0.0087,751.0,15.5443
complex,complex_20_8431bc7a,0.0036,1381.0,66.2109
complex,complex_15_e0ff018d,0.0039,975.0,23.4812
complex,complex_16_96b6996f,0.0018,1283.0,60.6274
complex,complex_11_0661921d,0.0044,1864.0,58.779
complex,complex_9_100aece4,0.0013,579.0,37.98
complex,complex_8_21a3c94a,0.0137,3010.0,128.4941
complex,complex_17_3dbfdb83,0.0021,1369.0,42.5185
complex,complex_13_6b570459,0.0021,748.0,22.9177
complex,complex_22_d92e2659,0.0082,2484.0,76.1117
complex,平均值,0.005444000000000001,1264.44,48.969796
truth,truth_5_a4ac70cb,0.0121,1355.0,50.4969
truth,truth_1_549c5138,0.0071,1963.0,61.5182
truth,truth_3_bd8bb2ee,0.0044,616.0,79.6443
truth,truth_2_9f048d90,0.0059,922.0,48.8121
truth,truth_4_5266506c,0.0048,668.0,56.8206
truth,平均值,0.006860000000000001,1104.8,59.458420000000004
